carat,cut,color,clarity,price
1.6,2,2,VS2,18.421
1.79,5,1,VS1,18.419
1.54,2,2,VS1,18.416
2.11,4,2,SI2,18.47
2.8,4,2,SI2,18.45
2.1,4,1,SI1,18.398
1.7,5,2,VS1,18.398
2.2,4,1,VS2,18.398
2.1,2,2,SI2,18.395
2.1,2,2,SI2,18.394
2.9,4,1,SI1,18.392
1.73,5,1,VVS2,18.377
2,3,2,SI1,18.376
2.1,3,1,SI1,18.374
2.4,2,1,SI2,18.374
2.32,4,1,SI1,18.371
2,5,1,SI1,18.371
2,5,1,SI1,18.371
2.6,2,2,SI2,18.371
2.6,2,1,SI2,18.369
2.2,5,1,VS2,18.364
2.22,2,1,VS2,18.363
2.7,5,1,VS2,18.359
1.83,4,1,VS2,18.358
2.7,2,2,SI2,18.344
2.27,2,1,SI1,18.343
1.7,5,2,VS2,18.342
2.16,2,1,VS1,18.342
2.1,3,1,VS1,18.34
2.49,5,1,SI2,18.325
2.2,2,1,VS1,18.324
2.2,5,2,SI2,18.32
1.61,2,2,VS2,18.318
2.1,2,1,SI2,18.312
2.3,5,2,SI2,18.31
2.51,1,1,SI2,18.38
1.93,2,2,SI1,18.36
2.3,2,1,SI2,18.34
2.24,2,1,SI1,18.299
2.2,2,1,SI2,18.296
2.1,5,1,SI1,18.295
2.1,2,1,SI1,18.295
1.54,2,1,VVS1,18.294
2.6,2,1,SI2,18.293
2.14,5,2,SI2,18.291
2.8,4,1,VS2,18.281
1.62,2,2,VS2,18.281
1.7,2,1,VVS1,18.279
1.7,5,2,IF,18.279
2.21,2,1,SI2,18.276
2.13,2,1,SI1,18.275
2.2,5,2,SI2,18.274
2.1,2,1,SI2,18.259
2.3,4,1,SI1,18.257
2.51,5,1,SI2,18.255
2.52,5,1,SI1,18.252
2.1,2,1,SI1,18.252
3.1,5,1,SI2,18.242
3.1,3,1,SI2,18.242
3.1,1,1,SI2,18.242
3.1,1,1,SI2,18.242
2.3,5,1,VS2,18.239
2.2,4,1,SI1,18.236
2.2,4,1,SI1,18.236
2.2,3,2,SI2,18.236
2.2,4,1,SI1,18.236
2.19,5,2,SI2,18.232
1.9,4,2,IF,18.231
2.9,4,1,VS1,18.215
1.73,4,1,VVS2,18.211
2.2,5,1,VS2,18.27
2.2,5,1,VS2,18.27
2.1,5,1,VS1,18.26
2.7,2,1,SI2,18.198
2.2,5,1,SI1,18.193
2.5,2,2,SI1,18.193
2.7,5,1,VS2,18.193
2.3,2,1,VS2,18.19
1.55,2,2,VVS2,18.188
2.1,5,1,SI1,18.188
2,4,1,SI1,18.186
2.1,2,1,SI1,18.186
2.1,2,2,SI2,18.183
2.52,5,2,SI2,18.179
1.63,2,2,VS1,18.179
1.76,2,1,VS1,18.178
1.7,4,2,VS2,18.176
2.1,2,1,VS2,18.172
2,2,2,SI2,18.172
2.2,2,1,SI2,18.168
2.3,5,1,VS2,18.166
2.12,5,1,SI2,18.164
2.4,2,1,SI1,18.153
2.5,4,1,VS2,18.152
2.23,5,1,VS2,18.149
2.1,4,1,SI1,18.149
2.3,5,1,VS2,18.139
2.3,5,1,VS2,18.139
2.21,2,1,SI2,18.128
2.8,4,2,SI2,18.128
1.78,2,2,VS2,18.128
2.8,2,2,SI2,18.128
2.4,4,1,VS1,18.127
2.14,4,2,SI2,18.125
2.1,2,2,SI2,18.124
2.8,2,1,SI2,18.124
2.12,5,2,SI2,18.12
2.3,4,2,SI2,18.12
2.33,4,1,SI1,18.119
2.12,4,1,SI1,18.118
2.2,5,2,SI2,18.117
2.4,5,1,SI1,18.115
2.4,5,1,SI1,18.115
2.3,4,2,SI2,18.115
1.7,4,2,IF,18.114
2.45,2,1,VS2,18.113
1.14,4,2,IF,18.112
2.3,2,1,SI2,18.18
1.7,4,2,VS2,18.17
1.7,4,1,VS2,18.17
2.4,5,1,VS1,18.14
1.51,5,2,IF,18.12
2.32,2,1,SI1,18.8
2.2,2,1,VS2,18.77
2.1,3,1,SI1,18.77
2.1,5,1,SI1,18.77
2.1,4,1,SI1,18.77
2.11,4,2,SI2,18.71
2,3,2,SI1,18.69
2.29,4,1,SI1,18.68
2.19,4,2,SI2,18.67
2.4,5,2,SI2,18.66
2,2,1,SI1,18.62
2.21,2,1,SI1,18.62
2.2,2,1,SI1,18.59
1.58,2,2,VS1,18.57
1.7,2,2,VS2,18.55
2.2,2,1,VS2,18.5
2.1,4,1,VS1,18.41
2.51,2,1,SI2,18.37
2.11,5,2,SI2,18.34
2.25,5,1,SI2,18.34
2.25,5,1,SI1,18.34
2.16,2,1,SI1,18.29
2.51,4,1,SI2,18.29
2.1,3,2,SI1,18.27
2.1,4,1,SI1,18.27
2.32,5,1,SI1,18.26
2.3,2,1,SI1,18.26
2.4,3,1,SI1,18.26
2,3,1,VS2,18.23
2.51,5,1,VS2,18.2
5.1,1,1,I1,18.18
2.5,2,1,SI2,18.17
1.76,4,1,VS1,18.14
2.25,5,2,SI2,18.7
2.6,4,1,SI2,18.5
2.18,5,1,SI2,18.3
2.9,5,2,SI2,18.2
2.16,2,1,SI2,18.1
2.9,2,1,VS2,17.999
2.35,5,1,SI1,17.999
1.93,1,2,VS1,17.995
2.24,2,2,SI2,17.989
2.5,5,1,SI2,17.988
2.1,5,1,VS2,17.987
2.8,2,1,IF,17.986
2.1,2,1,VS1,17.983
2.3,5,1,VS2,17.975
2.5,2,2,SI2,17.957
2.39,2,1,VS2,17.955
2.4,4,1,SI2,17.955
2,4,2,SI2,17.953
2.4,4,1,SI1,17.952
2.4,4,1,SI1,17.952
1.54,2,2,VS1,17.949
2.2,5,2,SI2,17.938
1.51,5,2,VS1,17.936
2.2,2,1,VS1,17.936
2.16,5,1,SI1,17.934
1.29,4,2,VVS1,17.932
2.57,5,2,SI2,17.924
2.41,3,1,SI2,17.923
2.1,1,1,VS2,17.917
2.8,2,1,VS2,17.916
1.7,4,2,IF,17.99
2.2,5,1,VS2,17.95
1.74,5,1,VS1,17.94
1.74,5,1,VS1,17.94
2,3,1,SI1,17.92
2,3,1,VS2,17.898
2.2,2,1,SI1,17.895
1.58,2,2,VS1,17.894
2.2,5,1,VS2,17.893
2.48,4,1,SI1,17.893
2.7,4,1,SI1,17.893
2.28,5,1,SI2,17.892
2.1,2,1,SI1,17.892
1.7,2,2,VS2,17.892
2.16,5,1,VVS1,17.891
2.32,2,1,VS1,17.891
2,2,1,VS1,17.889
1.76,4,1,VVS2,17.888
2.2,4,1,VS2,17.887
2.2,2,1,SI1,17.882
2.1,4,1,VS1,17.877
2,2,2,SI2,17.871
2.11,4,2,SI2,17.871
2,3,2,SI1,17.869
2.3,2,1,SI1,17.864
2.43,2,1,SI2,17.856
2.1,5,1,SI1,17.849
2.1,5,1,SI1,17.849
2.1,2,2,SI2,17.849
2.18,5,1,SI2,17.841
2.9,5,2,SI2,17.84
2.1,2,1,VS1,17.838
2.1,4,1,VS2,17.837
2.36,2,1,VS1,17.829
2.1,5,1,VS2,17.826
2.2,5,2,SI2,17.825
1.63,2,2,VS2,17.825
2.16,2,1,SI1,17.82
2.11,5,1,SI1,17.816
2.5,4,1,SI1,17.811
2.9,5,1,SI2,17.85
2.17,2,1,SI2,17.85
2.1,3,1,SI1,17.84
2.3,5,2,SI1,17.83
1.69,4,2,VS2,17.83
2.72,2,1,SI2,17.81
2.1,2,2,SI2,17.798
2.21,4,1,SI1,17.784
2.8,5,1,SI1,17.778
2.5,5,2,SI1,17.776
1.55,5,2,VS1,17.773
2.16,4,1,SI1,17.772
1.71,5,2,VS2,17.766
1.72,5,1,VS1,17.765
1.87,2,1,VS1,17.761
2,4,1,SI1,17.76
2,3,2,VS2,17.76
2,5,1,SI1,17.76
2,3,2,SI2,17.76
2,2,1,VS2,17.76
2,5,2,SI2,17.76
2.1,4,1,SI1,17.759
2.1,4,2,SI2,17.759
2.56,2,1,SI1,17.753
2.3,4,1,SI2,17.752
2.1,4,1,VS1,17.751
2.17,2,1,SI1,17.747
2.1,5,2,SI2,17.746
2.14,5,2,SI2,17.742
2,3,1,SI1,17.74
2.12,2,2,SI2,17.73
1.65,2,1,IF,17.729
2,4,1,SI1,17.724
1.52,5,2,VS1,17.723
2,5,1,VS2,17.716
2.31,4,1,SI1,17.715
2.21,5,1,SI1,17.714
1.99,1,1,VS2,17.713
2.11,2,1,VS2,17.712
2,2,2,SI2,17.71
2.12,4,2,SI2,17.694
2.2,5,1,SI1,17.692
1.51,4,2,VVS2,17.689
2.52,4,1,SI2,17.689
2.1,2,2,SI2,17.688
2.1,5,1,SI1,17.688
1.71,4,2,VS1,17.685
2.32,2,1,SI2,17.676
2.1,4,2,SI1,17.676
2,5,2,SI2,17.674
2.14,5,1,SI2,17.673
2.28,5,1,SI1,17.673
2.2,4,1,SI1,17.672
2.29,5,1,SI2,17.666
1.34,5,2,IF,17.663
1.52,2,2,VS1,17.659
2.2,4,2,SI1,17.658
2.6,5,1,SI2,17.65
1.51,2,2,VS1,17.649
2.39,5,1,VS1,17.642
2.5,5,1,VS1,17.64
2.2,5,1,SI2,17.634
2.8,5,1,SI1,17.617
2.7,2,1,SI2,17.614
1.74,5,1,VS2,17.614
2.1,2,1,SI2,17.69
2.52,3,1,SI2,17.68
2.48,5,1,SI2,17.67
2,2,1,VS1,17.67
2.1,5,1,VVS1,17.66
1.72,5,1,VS1,17.65
2,3,1,SI1,17.6
1.38,4,2,IF,17.598
1.7,3,2,VS2,17.597
1.7,4,2,VS2,17.597
1.71,2,1,VS1,17.595
2.1,5,1,VS2,17.592
2.53,5,1,SI2,17.591
1.3,2,2,IF,17.59
2.14,4,2,SI2,17.582
2.2,4,1,VS2,17.581
2.2,5,1,SI1,17.579
2,5,1,VS2,17.574
2.1,4,1,VS2,17.57
1.65,2,1,IF,17.569
2.36,2,1,SI2,17.569
2.1,2,1,SI2,17.555
2.19,5,1,SI2,17.554
1.89,2,1,VS1,17.553
1.59,5,2,VS1,17.552
1.57,2,2,VS2,17.548
1.45,4,2,VVS2,17.545
2.29,5,1,VS2,17.539
1.97,5,1,VS2,17.535
2.36,2,1,VS2,17.534
2,2,2,SI2,17.534
2.2,3,1,VS1,17.533
2.2,4,2,SI1,17.53
2.1,2,1,VS1,17.523
2.52,5,1,SI2,17.522
2.5,5,1,SI1,17.521
2.32,2,1,SI2,17.516
1.51,5,2,VS1,17.515
2.1,4,2,SI2,17.514
2.14,5,1,SI2,17.513
2.33,2,1,VS2,17.54
1.14,3,2,IF,17.499
2.1,3,1,VS2,17.497
1.7,5,1,VS1,17.492
2.2,5,1,SI1,17.489
1.7,3,2,VS2,17.485
2.1,4,1,SI1,17.476
2.18,4,1,SI2,17.475
2.1,5,1,SI1,17.474
2.18,5,1,SI2,17.473
2.44,4,1,SI1,17.472
2.8,2,1,SI1,17.469
2.8,2,1,SI1,17.469
2.2,2,1,VS2,17.46
2.1,5,1,SI1,17.458
2.51,5,1,SI1,17.452
2.31,5,1,VS1,17.451
1.5,3,2,VVS2,17.449
2.48,4,1,SI2,17.448
2,3,1,SI1,17.447
1.76,2,1,VS2,17.442
1.55,2,2,VS2,17.441
2,5,1,VS1,17.436
2.1,4,1,SI1,17.434
2.1,5,1,VS2,17.433
2.19,2,1,SI2,17.433
1.65,4,2,VS1,17.425
2.14,5,1,VS2,17.416
1.61,2,2,VS1,17.414
2.5,1,1,VS1,17.48
2.64,2,1,SI2,17.47
2,3,1,SI1,17.45
2.5,1,2,SI2,17.45
2.1,2,1,SI1,17.43
2.1,5,1,SI2,17.43
2.1,2,1,SI1,17.43
2.1,2,1,SI1,17.43
1.69,3,2,VS1,17.4
1.59,5,2,VS1,17.393
2.3,5,1,SI2,17.393
2.2,2,1,SI1,17.392
2.17,2,1,SI1,17.381
2.4,5,2,SI2,17.379
1.97,4,1,VS2,17.377
1.59,2,2,VS1,17.366
2.39,2,1,VS1,17.365
2.1,3,1,VS1,17.365
1.7,2,2,VS2,17.36
1.6,5,1,VVS1,17.36
2.2,4,1,SI1,17.357
1.93,5,1,VS2,17.353
1.21,2,2,IF,17.353
2.1,5,1,SI1,17.347
1.75,2,1,VS2,17.343
2.54,2,1,SI2,17.339
1.69,3,1,VS1,17.338
2.1,5,1,SI1,17.334
1.7,3,2,VS1,17.33
4.13,1,1,I1,17.329
1.58,2,1,IF,17.329
2.4,2,1,IF,17.327
1.7,5,2,VS2,17.323
2.4,4,1,SI1,17.323
1.51,4,2,VVS2,17.317
2.4,4,1,VS2,17.315
2.16,5,1,SI1,17.313
2.26,2,1,SI2,17.312
2.5,2,1,SI1,17.294
2.35,5,1,SI2,17.294
1.5,4,2,VVS1,17.279
2,5,1,VS1,17.278
1.8,4,2,SI1,17.273
1.86,4,1,VVS2,17.267
2.2,5,1,SI1,17.265
2.2,5,1,SI1,17.265
2.2,2,1,SI2,17.265
2.16,2,2,SI2,17.263
2.2,4,2,SI2,17.263
2.42,5,1,VS1,17.262
2.8,5,1,VS2,17.258
1.61,2,2,VS1,17.256
2.12,5,1,VS2,17.254
2.1,2,1,SI1,17.25
2,4,1,SI1,17.247
2.2,2,1,SI1,17.245
2.1,4,2,SI2,17.244
1.54,2,2,VS2,17.24
2.1,5,2,SI2,17.235
2.1,5,1,SI1,17.235
2.25,5,1,SI1,17.233
2.52,2,1,SI1,17.231
1.7,5,1,VVS2,17.228
2.1,2,1,VS1,17.227
2.17,2,1,SI1,17.224
1.53,2,2,VS2,17.223
2.15,5,1,SI2,17.221
2.1,2,2,SI2,17.22
2.15,2,1,SI2,17.219
1.7,4,1,VS1,17.219
2.31,5,1,SI2,17.218
1.41,5,2,VVS2,17.216
2.5,2,1,VVS2,17.214
2.14,2,1,SI1,17.213
2.61,2,1,SI2,17.29
2.6,5,1,SI2,17.29
1.71,4,1,VS1,17.26
1.71,2,1,VS1,17.24
1.6,5,1,VVS1,17.24
1.5,5,2,VVS2,17.23
2.1,2,1,VS2,17.197
1.71,5,1,VS1,17.197
1.67,2,2,VS2,17.194
2.14,5,1,VS2,17.193
2.3,2,1,SI1,17.193
1.21,5,2,VVS1,17.192
1.75,5,1,VS1,17.191
2.1,5,1,VS2,17.191
2.56,5,1,SI1,17.186
2.74,4,1,SI2,17.184
2.3,2,1,SI2,17.182
2.1,5,2,SI2,17.179
2.1,5,2,SI2,17.179
1.5,2,1,VVS2,17.176
1.57,5,2,VS1,17.175
2,5,2,SI1,17.172
1.75,5,2,VS2,17.172
2.42,5,1,VS2,17.168
2.42,5,1,VS2,17.168
2.2,5,1,SI2,17.166
2.51,2,1,SI2,17.162
2.22,4,1,SI1,17.16
2.9,5,1,SI2,17.156
1.5,4,2,VS2,17.153
2.2,5,1,VS1,17.153
2.22,3,1,SI1,17.151
2.27,5,1,VS1,17.149
2.71,5,2,SI2,17.146
1.5,5,2,VS1,17.143
2.2,2,1,SI1,17.141
2.5,4,2,SI2,17.138
2,5,1,SI2,17.136
2.1,2,1,SI1,17.126
1.72,2,1,VS2,17.125
2.22,2,1,SI2,17.123
2.1,4,2,SI2,17.118
2.57,5,2,SI2,17.116
2.1,3,2,SI2,17.115
2.9,2,1,SI1,17.114
1.7,2,2,VS2,17.114
1.56,2,2,VS2,17.18
2.53,1,1,SI2,17.13
1.2,4,2,IF,17.1
2.2,5,1,SI2,17.99
1.93,5,1,VS1,17.96
2.7,2,1,SI2,17.95
2.1,4,1,SI1,17.95
2,3,2,SI2,17.94
2,4,1,VS2,17.84
2.5,5,2,SI2,17.81
2.1,4,2,SI2,17.79
2.1,2,2,SI2,17.78
1.7,4,1,VVS2,17.73
2.13,5,1,SI2,17.73
2.1,5,1,VS2,17.68
2.1,5,1,VS1,17.68
2.1,2,1,VS1,17.68
2.1,4,1,VS1,17.68
2.12,2,1,VS2,17.68
2.5,5,2,SI2,17.66
2.15,4,1,SI2,17.65
2.15,2,1,SI2,17.63
2.31,4,1,SI2,17.62
2.1,5,1,VS2,17.57
1.53,4,2,VVS2,17.57
2.32,5,1,VS2,17.53
1.71,4,2,VS2,17.52
2.27,3,1,VS1,17.51
2.9,2,1,VS2,17.51
1.6,2,1,VS1,17.5
1.71,2,1,VS1,17.49
2.4,2,2,SI2,17.49
2.7,2,1,VS2,17.45
2.13,5,2,SI2,17.45
1.7,2,2,IF,17.42
1.71,5,1,VS1,17.41
2.4,2,1,SI2,17.39
2.14,5,1,VS2,17.38
1.75,4,1,VS1,17.36
1.54,2,2,VS2,17.29
1.67,4,1,VVS2,17.28
2.5,4,1,SI1,17.28
2.4,5,1,VS2,17.28
2.6,1,1,SI2,17.27
2.1,4,2,SI2,17.24
2.1,4,2,SI2,17.24
2.7,4,1,SI1,17.19
1.75,5,2,VS2,17.17
2.19,5,1,SI1,17.16
2.1,5,1,SI2,17.14
2.6,5,1,SI2,17.12
2.26,2,1,VS2,17.1
1.71,2,1,VS1,17.9
2.5,2,1,SI1,17.6
2.1,4,2,SI2,17.5
2.1,4,1,SI1,17.3
2.9,5,1,SI2,17.1
2.31,5,1,SI2,17
2.2,5,1,SI2,16.996
2.27,5,1,VS1,16.994
2.12,5,1,SI2,16.992
1.5,4,2,VS1,16.988
2.41,2,1,SI2,16.987
2.2,5,1,SI1,16.985
1.68,2,1,VS1,16.985
1.73,5,2,VS2,16.975
3,5,1,SI2,16.97
3,1,1,SI2,16.97
2.28,2,2,SI2,16.969
1.73,5,1,VS2,16.96
1.73,5,1,VS2,16.96
2.6,2,1,SI1,16.96
2.7,5,2,SI1,16.957
2.1,4,2,SI1,16.956
2.1,5,1,SI1,16.956
2.5,2,1,VS2,16.955
1.7,4,1,VS1,16.955
2.28,5,1,SI2,16.954
1.5,2,1,VVS2,16.948
2.3,2,1,VS2,16.945
2.2,5,1,SI2,16.944
2.4,5,1,SI1,16.942
1.93,5,1,VS1,16.941
2.37,2,1,SI2,16.937
2.53,5,1,SI2,16.934
2.13,5,1,SI2,16.931
2.2,5,1,SI2,16.929
2.1,2,1,SI2,16.922
1.54,5,2,VS2,16.921
1.52,2,2,VS1,16.916
2.49,2,1,SI1,16.915
2.1,4,1,VS1,16.914
2.14,4,1,VS2,16.914
2.1,4,1,VS1,16.914
2.26,2,1,SI1,16.94
2.1,4,1,SI1,16.91
2.3,5,1,SI1,16.9
2.3,2,1,SI1,16.9
2.3,2,1,SI1,16.9
2.5,5,1,VS2,16.896
2.1,5,2,SI2,16.881
2.1,5,2,SI2,16.881
1.76,5,1,VS2,16.879
2.18,4,1,SI2,16.878
2.4,4,1,VS2,16.874
2.4,5,2,SI2,16.872
2,4,1,SI1,16.872
2.2,5,1,VS2,16.861
2.6,5,2,SI2,16.857
2.8,5,1,VS2,16.854
2.51,4,1,SI1,16.842
2.18,3,1,SI2,16.842
2.42,2,1,SI2,16.826
1.25,2,2,IF,16.823
2.48,5,1,VS2,16.82
2.5,4,2,SI2,16.819
1.71,2,1,VS2,16.817
1.71,5,1,VS1,16.813
2.1,4,1,VS1,16.811
1.4,2,2,VVS1,16.88
1.73,4,1,VS2,16.87
2.23,5,1,SI2,16.85
2.21,5,2,SI1,16.84
1.75,2,1,VS2,16.83
2.31,4,1,SI1,16.81
2.4,2,1,SI2,16.8
2.4,5,2,SI2,16.797
2.5,2,1,VS1,16.793
1.5,5,2,VS1,16.793
2.3,2,1,VS2,16.792
2.39,4,1,VS2,16.791
1.62,2,2,VS1,16.79
1.69,2,2,VS2,16.789
2.2,3,1,VS2,16.789
2.3,5,1,SI1,16.787
1.52,4,2,VVS2,16.786
2.1,5,2,SI2,16.783
1.75,2,1,VS2,16.783
1.75,5,1,VS2,16.783
1.5,5,2,VS1,16.783
1.52,5,2,VS1,16.779
1.71,5,2,VS2,16.779
1.52,5,2,VS1,16.779
2.1,5,1,VS2,16.778
2.1,5,1,VS2,16.778
2.13,5,1,SI2,16.778
2.1,5,1,VS2,16.778
2.1,5,1,VS2,16.778
2.1,5,1,VS2,16.778
2.1,5,1,VS2,16.778
2.1,3,2,SI2,16.776
2.1,5,2,SI2,16.776
2.7,2,1,VVS2,16.769
2.4,5,1,VS2,16.768
1.51,2,2,VVS2,16.754
1.54,4,2,VS1,16.75
2.3,5,1,SI1,16.747
2.1,4,1,SI1,16.742
2.1,3,1,SI1,16.737
1.54,5,2,VS2,16.736
2.1,5,1,SI1,16.733
2.1,5,1,SI1,16.733
2.1,5,1,SI1,16.733
2.1,3,2,SI2,16.733
2.1,5,1,SI2,16.733
2.1,2,1,SI1,16.733
2.1,3,1,SI1,16.731
2.1,4,2,SI2,16.728
2.11,2,1,VS1,16.723
2.14,5,1,SI2,16.723
2.4,2,1,SI1,16.718
2.4,2,1,SI1,16.718
2.51,4,2,SI2,16.717
2.17,2,1,SI1,16.716
1.51,4,2,VVS2,16.716
1.51,4,2,VVS2,16.716
2.2,5,1,VS2,16.79
2.53,2,1,SI1,16.79
2.36,2,1,SI2,16.77
2.9,2,1,SI1,16.74
2.2,2,1,SI1,16.74
2.9,2,1,SI2,16.73
2.1,5,1,VS2,16.7
2,5,1,VS2,16.694
2.3,4,1,SI1,16.693
2.18,3,1,SI2,16.69
2.22,2,1,VS1,16.689
1.51,2,2,VS1,16.688
2.39,5,1,SI1,16.687
2.4,2,1,SI1,16.687
1.8,2,1,VS1,16.683
2.1,4,1,VS2,16.677
1.52,4,2,VS1,16.67
1.51,5,2,VS1,16.669
2.2,2,1,SI1,16.665
2.21,5,2,SI2,16.657
2.24,5,1,SI2,16.656
2,2,2,SI2,16.65
2,2,2,SI1,16.65
2,3,1,SI1,16.65
1.67,2,1,VS1,16.643
2.3,2,1,SI2,16.642
2.5,4,1,VS1,16.641
1.52,5,2,VS1,16.636
1.75,4,1,VS2,16.632
2.1,2,1,SI2,16.629
2.3,5,2,SI1,16.629
1.52,5,2,VS1,16.628
1.52,5,2,VS1,16.628
2.6,2,1,SI1,16.626
2.1,4,1,VS2,16.626
2.1,4,1,VS2,16.626
2.1,5,1,VS2,16.626
2.1,3,2,SI2,16.624
2.7,2,1,VVS2,16.617
2.4,4,1,VS2,16.616
2.5,5,1,SI1,16.611
2.6,4,2,SI2,16.63
1.53,5,1,VVS1,16.61
1.59,2,1,VVS1,16.599
2.2,3,1,VS2,16.593
2.28,2,1,VS1,16.592
2.45,2,2,SI2,16.589
2.6,5,1,SI2,16.587
1.69,5,2,VS2,16.583
2.1,3,2,SI2,16.582
2,4,2,SI1,16.58
2.25,2,1,SI2,16.575
1.71,2,2,SI1,16.575
1.57,2,2,VS2,16.57
2.2,3,1,SI2,16.565
2.28,5,1,VS2,16.564
2.1,2,1,SI1,16.562
2.2,2,1,SI1,16.56
2.24,4,1,SI2,16.558
1.5,5,2,VS1,16.558
2.21,2,2,SI2,16.558
1.51,5,2,VS1,16.551
2.22,4,1,SI2,16.547
1.6,2,1,IF,16.547
1.41,2,2,VVS1,16.545
2,3,1,VS2,16.544
2,5,1,VS2,16.544
3.1,2,1,I1,16.538
2.44,4,1,VS2,16.533
2.47,5,1,SI2,16.532
2.2,2,1,SI2,16.53
1.7,5,1,VS1,16.521
1.51,2,2,VS1,16.52
1.52,3,2,VS1,16.519
1.51,5,2,VS1,16.518
1.8,2,2,SI1,16.513
2.6,3,1,SI2,16.512
2.11,2,1,VS2,16.512
1.62,2,2,VS2,16.57
2.1,1,2,SI2,16.56
2.5,5,1,SI2,16.56
2.3,2,1,SI2,16.55
2.1,5,1,SI1,16.499
2.1,5,1,SI2,16.499
1.52,2,1,VVS1,16.492
1.52,4,2,VS1,16.485
2,5,2,SI2,16.484
2.3,5,1,VS2,16.483
2.1,4,1,SI2,16.479
2.1,5,1,SI2,16.479
2.17,5,2,SI2,16.472
1,2,2,IF,16.469
2.46,2,1,SI2,16.466
2.12,2,1,SI2,16.466
2,4,2,SI2,16.462
2,4,1,VS2,16.459
2.28,2,1,VS2,16.45
2.5,2,1,SI2,16.446
2.3,4,1,SI2,16.442
